Script_Ethical_Score,Script_educational_Score,Script_Islamic_Score,Script_social_Score,Script_emotional_Score, Action, Adventure, Biography, Comedy, Crime, Drama, Educational, Family, Fantasy, History, Horror, Islamic, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Animation,Average_Age,Cluster,GMM_Cluster
2.65625,2.916666666666667,2.404546287809347,3.656896048191414,2.342269367097357,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11.0,4,0
2.031250000000001,3.0,2.404546287809347,2.8376587045740767,3.971350193982768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9.0,0,0
0.0,0.0,1.8625114573785528,2.505076084979988,2.2279777780268564,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9.0,4,3
1.8750000000000002,2.6666666666666665,2.404546287809347,2.096104635655149,1.790369911273707,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0,3,2
1.0937500000000002,1.8333333333333335,2.404546287809347,2.441943200208613,1.8411584288058844,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,4,2
1.8750000000000002,2.833333333333333,1.9256856800394844,1.2353222200227127,2.26009907433296,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,13.0,3,0
1.4062500000000004,1.6666666666666665,2.404546287809347,1.948086642951064,2.062918025975531,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,3,2
1.0937500000000002,1.25,2.404546287809347,2.207514618592002,2.552305377488407,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,3,2
1.4062500000000004,3.0833333333333335,1.8625114573785528,3.689510719232847,2.3360845214407044,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,2,2
2.9687500000000004,3.5833333333333335,2.404546287809347,3.1965419977315728,3.158871205227522,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,0,2
3.593750000000001,3.416666666666666,2.404546287809347,3.101608497675499,2.5124909328467804,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.0,1,3
1.7187500000000009,2.7499999999999996,2.404546287809347,3.694160277296685,2.2010760812168257,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0,4,2
0.3125000000000003,3.1666666666666665,2.404546287809347,2.213542737880026,2.738206652518476,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0,2
2.9687500000000004,2.5,2.404546287809347,3.743063968879045,2.575548254183305,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.0,4,3
2.34375,1.5833333333333333,2.5169569202566433,2.6456405321041947,2.5258035216432817,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,4,3
2.5000000000000004,3.333333333333333,1.7598533455545318,2.913387759730765,0.5822702204922887,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.0,1,3
2.34375,2.5833333333333335,1.8345137905174556,3.127049942076595,2.8412850057516748,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8.0,0,2
1.4062500000000004,3.0,2.404546287809347,3.71983912658906,1.835608675852208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11.0,4,2
2.031250000000001,3.0833333333333335,2.404546287809347,2.72596782636924,1.522579622668922,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0,4,3
1.0937500000000002,2.333333333333333,2.404546287809347,0.0,2.3833167911071937,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8.0,3,2
2.1875000000000004,2.7499999999999996,0.5240076147500594,3.5153876593807376,2.550687070920331,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13.0,2,3
2.65625,2.833333333333333,2.404546287809347,3.062584953455651,2.198360320343333,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1,2
1.8750000000000002,2.916666666666667,2.404546287809347,3.7561693221739407,2.351495923930805,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,1,3
0.9375000000000009,2.4166666666666665,2.404546287809347,2.104267581191418,3.673216694452384,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9.0,0,3
1.4062500000000004,2.25,2.404546287809347,1.6977485706525477,2.766446289760402,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,3,2
2.1875000000000004,2.833333333333333,2.1424881259895,3.5432344933439546,0.4288247679196176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,1,2
1.250000000000001,2.5,2.404546287809347,3.175196501689924,3.564542851234118,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11.0,0,2
1.7187500000000009,1.5833333333333333,2.404546287809347,2.7835878014974904,1.6613354565604144,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,6.0,1,2
2.812500000000001,2.916666666666667,5.0,0.0,1.7876287475803296,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,3,2
2.031250000000001,1.0833333333333335,2.404546287809347,2.574451639931008,1.34292724430675,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,8.0,1,1
0.78125,1.1666666666666665,2.016498625114566,3.0291907572489603,3.431503353048073,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,11.0,4,0
2.5000000000000004,1.6666666666666665,2.404546287809347,0.0,1.877801380041176,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,3,2
3.4375,2.6666666666666665,2.404546287809347,3.2966402787035287,1.933154231542077,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1,2
3.90625,3.833333333333333,2.404546287809347,2.9677055427326,1.7707559629053882,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1,3
1.4062500000000004,2.6666666666666665,2.404546287809347,3.09699352735312,2.1194100230401856,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,13.0,4,3
